id,name,price,currency,created_at,status,Most Expensive,Most Deviating,difference from median
SKU-1001,Shoes,799.0,SEK,2024-01-10,VALID,N,N,174.0
SKU-1009,Socks,99.0,SEK,2024-02-01,VALID,N,N,526.0
SKU-1010,Boots,1500.0,SEK,2024-02-15,VALID,ME 6,MD 6,875.0
SKU-1011,Scarf,200.0,SEK,2024-03-01,VALID,N,N,425.0
SKU-1013,Cap,75.0,SEK,2024-04-01,VALID,N,MD 10,550.0
SKU-1016,Coat,2500.0,SEK,2024-05-01,VALID,ME 4,MD 4,1875.0
SKU-1017,Jeans,800.0,SEK,2024-05-05,VALID,N,N,175.0
SKU-1018,Sneakers,1200.0,SEK,2024-05-10,VALID,ME 8,MD 8,575.0
SKU-1019,Sandals,400.0,SEK,2024-05-15,VALID,N,N,225.0
SKU-1022,Bracelet,500.0,SEK,2024-06-10,VALID,N,N,125.0
SKU-1023,Necklace,650.0,SEK,2024-06-15,VALID,N,N,25.0
SKU-1024,Sunglasses,900.0,SEK,2024-07-01,VALID,N,N,275.0
SKU-1025,Backpack,1100.0,SEK,2024-07-05,VALID,ME 10,N,475.0
SKU-1026,Umbrella,300.0,SEK,2024-07-10,VALID,N,N,325.0
SKU-1027,Winter Jacket,3500.0,SEK,2024-07-15,VALID,ME 3,MD 3,2875.0
SKU-1028,Shorts,450.0,SEK,2024-08-01,VALID,N,N,175.0
SKU-1029,Skirt,500.0,SEK,2024-08-05,VALID,N,N,125.0
SKU-1030,Gloves,200.0,SEK,2024-08-10,VALID,N,N,425.0
SKU-1031,Mittens,220.0,SEK,2024-08-15,VALID,N,N,405.0
SKU-1032,Suit,5000.0,SEK,2024-09-01,VALID,ME 1,MD 1,4375.0
SKU-1033,Tie,150.0,SEK,2024-09-05,VALID,N,N,475.0
SKU-1034,Blazer,2200.0,SEK,2024-09-10,VALID,ME 5,MD 5,1575.0
SKU-1035,Polo,600.0,SEK,2024-09-15,VALID,N,N,25.0
SKU-1036,Leggings,350.0,SEK,2024-10-01,VALID,N,N,275.0
SKU-1037,Tracksuit,1200.0,SEK,2024-10-05,VALID,ME 9,MD 9,575.0
SKU-1038,Swimsuit,700.0,SEK,2024-10-10,VALID,N,N,75.0
SKU-1040,Parka,4500.0,SEK,2024-11-01,VALID,ME 2,MD 2,3875.0
SKU-1041,Beanie,180.0,SEK,2024-11-05,VALID,N,N,445.0
SKU-1042,Earmuffs,130.0,SEK,2024-11-10,VALID,N,N,495.0
SKU-1044,Vest,800.0,SEK,2024-12-01,VALID,N,N,175.0
SKU-1045,Loafers,1100.0,SEK,2024-12-05,VALID,N,N,475.0
SKU-1046,Sneakers,1000.0,SEK,2024-12-10,VALID,N,N,375.0
SKU-1047,Heels,1500.0,SEK,2024-12-15,VALID,ME 7,MD 7,875.0
SKU-1048,Flipflops,100.0,SEK,2024-12-20,VALID,N,N,525.0
SKU-1049,Robe,900.0,SEK,2024-12-25,VALID,N,N,275.0
SKU-1050,Pyjamas,600.0,SEK,2025-01-01,VALID,N,N,25.0
SKU-1051,Suspenders,250.0,SEK,2025-01-05,VALID,N,N,375.0
SKU-1053,Cap,85.0,SEK,2025-01-15,VALID,N,N,540.0
