id,name,price,currency,created_at,reason
SKU-1003,Shirts,450.0,SEK,,MISSING CREATED_AT
,Jacket,-200.0,SEK,,MISSING CREATED_AT
SKU-1005,,,,,MISSING CREATED_AT
SKU-1006,Designer Coat,,SEK,2024-05-01,MISSING PRICE
,Hat,,SEK,,MISSING CREATED_AT
SKU-1008,Gloves,120.0,,2024-06-20,MISSING CURRENCY
SKU-1015,Hoodie,-50.0,SEK,2024-04-15,NEGATIVE PRICE
SKU-1043,Cardigan,,SEK,2024-11-15,MISSING PRICE
SKU-1052,Coat,,SEK,2025-01-10,MISSING PRICE
SKU-1054,,450.0,SEK,2025-02-01,MISSING NAME
SKU-1055,Scarf,300.0,,2025-02-05,MISSING CURRENCY
